Paper Title,Authors,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Toward seamless transitions between shared control and supervised autonomy in robotic assistance,"Bustamante, Samuel; Quere, Gabriel; Hagmann, Katharina; Wu, Xuwei; Schmaus, Peter; Vogel, Jörn; Stulp, Freek; Leidner, Daniel;",2021,RA-L,minimizing input,Direct Control Interfaces,Templates; Input Mapping; Classical ML,Assistive Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9372861
A User-Centered Shared Control Scheme with Learning from Demonstration for Robotic Surgery,"Zheng, Haoyi; Hu, Zhaoyang Jacopo; Huang, Yanpei; Cheng, Xiaoxiao; Wang, Ziwei; Burdet, Etienne;",2024,ICRA,minimizing time,Direct Control Interfaces,Traded Control; Reinforcement Learning,Medical Robotics,https://ieeexplore.ieee.org/document/10611089
Human Robot Shared Control in Surgery: A Performance Assessment,"Chen, Longrui; Hu, Zhaoyang Jacopo; Huang, Yanpei; Burdet, Etienne; y Baena, Ferdinando Rodriguez;",2024,ICRA,improving input quality,Haptic,Input Blending; Imitation Learning; Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10611642
Robot Trajectron: Trajectory Prediction-based Shared Control for Robot Manipulation,"Song, Pinhao; Li, Pengteng; Aertbeliën, Erwin; Detry, Renaud;",2024,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Generative Modelling,General Manipulation,https://lirias.kuleuven.be/retrieve/748023
Corrective shared autonomy for addressing task variability,"Hagenow, Michael; Senft, Emmanuel; Radwin, Robert; Gleicher, Michael; Mutlu, Bilge; Zinn, Michael;",2021,RA-L,minimizing input,Haptic,Optimization; Input Mapping; Classical ML,Industrial Robotics,https://arxiv.org/abs/2102.07165
Haptic feedback improves human-robot agreement and user satisfaction in shared-autonomy teleoperation,"Zhang, Dawei; Tron, Roberto; Khurshid, Rebecca P;",2021,ICRA,improving input quality,Haptic,Input Blending; Optimization,UAV,https://arxiv.org/abs/2103.03453
Shared autonomy via variable impedance control and virtual potential fields for encoding human demonstrations,"Jadav, Shail; Heidersberger, Johannes; Ott, Christian; Lee, Dongheui;",2024,ICRA,improving input quality,Haptic,Compliance Control; Optimization,Assistive Robotics,https://arxiv.org/abs/2403.12720
A shared control method for collaborative human-robot plug task,"Chang, Peng; Luo, Rui; Dorostian, Mehrdad; Padır, Taşkın;",2021,RA-L,minimizing input,Gesture/Hand Tracking,Intent/Goal Inference; Divisible,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9492826
Communicating robot conventions through shared autonomy,"Jonnavittula, Ananth; Losey, Dylan P;",2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Optimization,Assistive Robotics,https://arxiv.org/abs/2202.11140
Shared control templates for assistive robotics,"Quere, Gabriel; Hagengruber, Annette; Iskandar, Maged; Bustamante, Samuel; Leidner, Daniel; Stulp, Freek; Vogel, Jörn;",2020,ICRA,minimizing input,Direct Control Interfaces,Input Mapping; Templates; Imitation Learning,Assistive Robotics,https://ieeexplore.ieee.org/document/9197041
The impacts of unreliable autonomy in human-robot collaboration on shared and supervisory control for remote manipulation,"Lin, Tsung-Chi; Krishnan, Achyuthan Unni; Li, Zhi;",2023,RA-L,minimizing input,Direct Control Interfaces,"Supervisory; Probabilistic Modelling
",General Manipulation,https://ieeexplore.ieee.org/document/10154152
Coordinated multi-robot shared autonomy based on scheduling and demonstrations,"Hagenow, Michael; Senft, Emmanuel; Orr, Nitzan; Radwin, Robert; Gleicher, Michael; Mutlu, Bilge; Losey, Dylan P; Zinn, Michael;",2023,RA-L,maximizing output,Direct Control Interfaces,"Supervisory; Multi-Robot Control; Probabilistic Modelling 
",Industrial Robotics,https://arxiv.org/abs/2303.15972
An intention prediction based shared control system for point-to-point navigation of a robotic wheelchair,"Lei, Zhen; Tan, Bang Yi; Garg, Neha P; Li, Lei; Sidarta, Ananda; Ang, Wei Tech;",2022,RA-L,improving input quality,Direct Control Interfaces,"Planning; Intent/Goal Inference; Input Mapping
",Assistive Robotics,https://ieeexplore.ieee.org/document/9817650
Human-robot shared control for surgical robot based on context-aware sim-to-real adaptation,"Zhang, Dandan; Wu, Zicong; Chen, Junhong; Zhu, Ruiqi; Munawar, Adnan; Xiao, Bo; Guan, Yuan; Su, Hang; Hong, Wuzhou; Guo, Yao;",2022,ICRA,minimizing time,Direct Control Interfaces,Compliance Control; Imitation Learning; Virtual Fixtures ,Medical Robotics,https://arxiv.org/abs/2204.11116
A shared control framework for human-multirobot foraging with brain-computer interface,"Dai, Wei; Liu, Yaru; Lu, Huimin; Zheng, Zhiqiang; Zhou, Zongtan;",2021,RA-L,maximizing output,Physiological Signal,Multi-Robot Control; Probabilistic Modelling,UAV,https://ieeexplore.ieee.org/document/9464651
Effects of shared control on cognitive load and trust in teleoperated trajectory tracking,"Pan, Jiahe; Eden, Jonathan; Oetomo, Denny; Johal, Wafa;",2024,RA-L,improving input quality,Direct Control Interfaces,Input Blending; Classical ML,General Manipulation,https://arxiv.org/pdf/2402.02758v2
A shared autonomy reconfigurable control framework for telemanipulation of multi-arm systems,"Ozdamar, Idil; Laghi, Marco; Grioli, Giorgio; Ajoudani, Arash; Catalano, Manuel G; Bicchi, Antonio;",2022,RA-L,maximizing output,Gesture/Hand Tracking,"Multi-Robot Control; Compliance Control; Probabilistic Modelling; Input Mapping
",Industrial Robotics,https://arxiv.org/pdf/2207.09813
Shared autonomous interface for reducing physical effort in robot teleoperation via human motion mapping,"Lin, Tsung-Chi; Krishnan, Achyuthan Unni; Li, Zhi;",2020,ICRA,minimizing time,Gesture/Hand Tracking,"Supervisory; Traded Control; Input Mapping
",Assistive Robotics,https://par.nsf.gov/servlets/purl/10197687
A Study of Shared-Control With Bilateral Feedback for Obstacle Avoidance in Whole-Body Telelocomotion of a Wheeled Humanoid,"Baek, DongHoon; Chang, Yu-Chen; Ramos, Joao;",2023,RA-L,improving input quality,Direct Control Interfaces,Input Blending; Optimization,Navigation Robotics,https://arxiv.org/pdf/2209.03994
A Semi-Autonomous Data-Driven Shared Control Framework for Robotic Manipulation and Cutting of an Unknown Deformable Tissue,"Strohmeyer, Nicholas A; Park, Ji Hwan; Murphy, Braden P; Alambeigi, Farshid;",2024,ICRA,minimizing input,Haptic,Optimization; Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610931
Shared control for a handheld orthopedic surgical robot,"Yen, Ping-Lang; Ho, Tsung-Han;",2021,RA-L,improving input quality,Direct Control Interfaces,Compliance Control,Medical Robotics,N/A
Trust-Preserved Human-Robot Shared Autonomy enabled by Bayesian Relational Event Modeling,"Li, Yingke; Zhang, Fumin;",2024,RA-L,improving input quality,GUI,Probabilistic Graphical Model,Emergency Response Robotics,https://arxiv.org/pdf/2311.02009
Adaptive authority allocation in shared control of robots using bayesian filters,"Balachandran, Ribin; Mishra, Hrishik; Cappelli, Matteo; Weber, Bernhard; Secchi, Cristian; Ott, Christian; Albu-Schaeffer, Alin;",2020,ICRA,improving input quality,Haptic,Filtering; Probabilistic Graphical Model,Space Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196941
Shared control based on a brain-computer interface for human-multirobot cooperation,"Dai, Wei; Liu, Yaru; Lu, Huimin; Zhou, Zongtan; Zhen, Zhiqiang;",2021,RA-L,maximizing output,Physiological Signal,Intent/Goal Inference; Multi-Robot Control,Emergency Response Robotics; Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/9462329
CATs: Task planning for shared control of assistive robots with variable autonomy,"Bustamante, Samuel; Quere, Gabriel; Leidner, Daniel; Vogel, Jörn; Stulp, Freek;",2022,ICRA,minimizing input,Physiological Signal,Templates,Assistive Robotics,https://core.ac.uk/download/pdf/511431691.pdf
