Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Toward seamless transitions between shared control and supervised autonomy in robotic assistance,2021,RA-L,minimizing input,Direct Control Interfaces,Templates; Input Mapping; Classical ML,Assistive Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9372861
A User-Centered Shared Control Scheme with Learning from Demonstration for Robotic Surgery,2024,ICRA,minimizing time,Direct Control Interfaces,Traded Control; Reinforcement Learning,Medical Robotics,https://ieeexplore.ieee.org/document/10611089
Human Robot Shared Control in Surgery: A Performance Assessment,2024,ICRA,improving input quality,Haptic,Input Blending; Imitation Learning; Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10611642
Robot Trajectron: Trajectory Prediction-based Shared Control for Robot Manipulation,2024,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Generative Modelling,General Manipulation,https://lirias.kuleuven.be/retrieve/748023
Corrective shared autonomy for addressing task variability,2021,RA-L,minimizing input,Haptic,Optimization; Input Mapping; Classical ML,Industrial Robotics,https://arxiv.org/abs/2102.07165
Haptic feedback improves human-robot agreement and user satisfaction in shared-autonomy teleoperation,2021,ICRA,improving input quality,Haptic,Input Blending; Optimization,UAV,https://arxiv.org/abs/2103.03453
Shared autonomy via variable impedance control and virtual potential fields for encoding human demonstrations,2024,ICRA,improving input quality,Haptic,Compliance Control; Optimization,Assistive Robotics,https://arxiv.org/abs/2403.12720
A shared control method for collaborative human-robot plug task,2021,RA-L,minimizing input,Gesture/Hand Tracking,Intent/Goal Inference; Divisible,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9492826
Communicating robot conventions through shared autonomy,2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Optimization,Assistive Robotics,https://arxiv.org/abs/2202.11140
Shared control templates for assistive robotics,2020,ICRA,minimizing input,Direct Control Interfaces,Input Mapping; Templates; Imitation Learning,Assistive Robotics,https://ieeexplore.ieee.org/document/9197041
The impacts of unreliable autonomy in human-robot collaboration on shared and supervisory control for remote manipulation,2023,RA-L,minimizing input,Direct Control Interfaces,"Supervisory; Probabilistic Modelling
",General Manipulation,https://ieeexplore.ieee.org/document/10154152
Coordinated multi-robot shared autonomy based on scheduling and demonstrations,2023,RA-L,maximizing output,Direct Control Interfaces,"Supervisory; Multi-Robot Control; Probabilistic Modelling 
",Industrial Robotics,https://arxiv.org/abs/2303.15972
An intention prediction based shared control system for point-to-point navigation of a robotic wheelchair,2022,RA-L,improving input quality,Direct Control Interfaces,"Planning; Intent/Goal Inference; Input Mapping
",Assistive Robotics,https://ieeexplore.ieee.org/document/9817650
Human-robot shared control for surgical robot based on context-aware sim-to-real adaptation,2022,ICRA,minimizing time,Direct Control Interfaces,Compliance Control; Imitation Learning; Virtual Fixtures ,Medical Robotics,https://arxiv.org/abs/2204.11116
A shared control framework for human-multirobot foraging with brain-computer interface,2021,RA-L,maximizing output,Physiological Signal,Multi-Robot Control; Probabilistic Modelling,UAV,https://ieeexplore.ieee.org/document/9464651
Effects of shared control on cognitive load and trust in teleoperated trajectory tracking,2024,RA-L,improving input quality,Direct Control Interfaces,Input Blending; Classical ML,General Manipulation,https://arxiv.org/pdf/2402.02758v2
A shared autonomy reconfigurable control framework for telemanipulation of multi-arm systems,2022,RA-L,maximizing output,Gesture/Hand Tracking,"Multi-Robot Control; Compliance Control; Probabilistic Modelling; Input Mapping
",Industrial Robotics,https://arxiv.org/pdf/2207.09813
Shared autonomous interface for reducing physical effort in robot teleoperation via human motion mapping,2020,ICRA,minimizing time,Gesture/Hand Tracking,"Supervisory; Traded Control; Input Mapping
",Assistive Robotics,https://par.nsf.gov/servlets/purl/10197687
A Study of Shared-Control With Bilateral Feedback for Obstacle Avoidance in Whole-Body Telelocomotion of a Wheeled Humanoid,2023,RA-L,improving input quality,Direct Control Interfaces,Input Blending; Optimization,Navigation Robotics,https://arxiv.org/pdf/2209.03994
A Semi-Autonomous Data-Driven Shared Control Framework for Robotic Manipulation and Cutting of an Unknown Deformable Tissue,2024,ICRA,minimizing input,Haptic,Optimization; Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610931
Shared control for a handheld orthopedic surgical robot,2021,RA-L,improving input quality,Direct Control Interfaces,Compliance Control,Medical Robotics,N/A
Trust-Preserved Human-Robot Shared Autonomy enabled by Bayesian Relational Event Modeling,2024,RA-L,improving input quality,GUI,Probabilistic Graphical Model,Emergency Response Robotics,https://arxiv.org/pdf/2311.02009
Adaptive authority allocation in shared control of robots using bayesian filters,2020,ICRA,improving input quality,Haptic,Filtering; Probabilistic Graphical Model,Space Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9196941
Shared control based on a brain-computer interface for human-multirobot cooperation,2021,RA-L,maximizing output,Physiological Signal,Intent/Goal Inference; Multi-Robot Control,Emergency Response Robotics; Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/9462329
